"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"30","all","focus_Simon","Cognitive Skills","Random","0.78","[0.37; 1.64]",-1,0,8,2.86,"[2.14;3.82]",0.88,"[0.78;0.93]",0.85,"[0.39;2.06]",0.73,"[0.15;4.23]",57.26,0
"31","all","focus_Simon","Parenting","Fixed","0.74","[0.53;     1.04]",-1.756,0.079,3,2.26,"[1.28;4.01]",0.8,"[0.39;0.94]",0.69,"[0.21;4.97]",0.47,"[0.04;24.66]",10.24,0.006
"32","all","focus_Simon","Parenting","Random","0.52","[0.07;     3.73]",-1,0,3,2.26,"[1.28;4.01]",0.8,"[0.39;0.94]",0.69,"[0.21;4.97]",0.47,"[0.04;24.66]",10.24,0.006
"33","all","focus_Simon","Employment","Fixed","0.91","[0.71; 1.16]",-0.756,0.45,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"34","all","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"35","all","focus_Simon","prostitution","Fixed","0.20","[0.08; 0.51]",-3.397,0.001,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"36","all","focus_Simon","prostitution","Random","","",-3,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"37","all","focus_Simon","Mental Health","Fixed","0.68","[0.37; 1.27]",-1.198,0.231,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"38","all","focus_Simon","Mental Health","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"39","all","focus_Simon","Education","Fixed","0.21","[0.14;  0.32]",-7.484,0,2,1.24,"[NA;NA]",0.35,"[NA;NA]",0.29,"[NA;NA]",0.09,"[NA;NA]",1.53,0.216
"40","all","focus_Simon","Education","Random","0.24","[0.01; 10.24]",-5,0,2,1.24,"[NA;NA]",0.35,"[NA;NA]",0.29,"[NA;NA]",0.09,"[NA;NA]",1.53,0.216
"41","all","approach","Group","Fixed","0.75","[0.69; 0.81]",-7.052,0,33,2.48,"[2.14;2.88]",0.84,"[0.78;0.88]",0.65,"[0.44;0.88]",0.42,"[0.19;0.77]",197.41,0
"42","all","approach","Group","Random","0.61","[0.47; 0.79]",-4,0,33,2.48,"[2.14;2.88]",0.84,"[0.78;0.88]",0.65,"[0.44;0.88]",0.42,"[0.19;0.77]",197.41,0
"43","all","approach","Individual","Fixed","0.87","[0.73; 1.03]",-1.604,0.109,8,2.33,"[1.68;3.22]",0.82,"[0.65;0.9]",0.54,"[0.27;1.23]",0.3,"[0.07;1.52]",37.87,0
"44","all","approach","Individual","Random","0.63","[0.37; 1.07]",-2,0,8,2.33,"[1.68;3.22]",0.82,"[0.65;0.9]",0.54,"[0.27;1.23]",0.3,"[0.07;1.52]",37.87,0
"45","all","approach","unknown","Fixed","0.55","[0.48; 0.63]",-8.857,0,9,4.68,"[3.81;5.73]",0.95,"[0.93;0.97]",0.89,"[0.55;1.8]",0.79,"[0.3;3.24]",174.98,0
"46","all","approach","unknown","Random","0.54","[0.26; 1.14]",-2,0,9,4.68,"[3.81;5.73]",0.95,"[0.93;0.97]",0.89,"[0.55;1.8]",0.79,"[0.3;3.24]",174.98,0
"47","all","Therapeutic","Not Therapeutic","Fixed","0.91","[0.84; 0.98]",-2.452,0.014,32,2.78,"[2.41;3.2]",0.87,"[0.83;0.9]",0.76,"[0.54;1.04]",0.58,"[0.29;1.09]",238.72,0
"48","all","Therapeutic","Not Therapeutic","Random","0.67","[0.50; 0.90]",-3,0,32,2.78,"[2.41;3.2]",0.87,"[0.83;0.9]",0.76,"[0.54;1.04]",0.58,"[0.29;1.09]",238.72,0
"49","all","Therapeutic","unknown","Fixed","0.27","[0.23; 0.32]",-14.424,0,3,1,"[1;3.1]",0,"[0;0.9]",0.08,"[0;1.18]",0.01,"[0;1.39]",0.62,0.733
"50","all","Therapeutic","unknown","Random","0.27","[0.20; 0.35]",-21,0,3,1,"[1;3.1]",0,"[0;0.9]",0.08,"[0;1.18]",0.01,"[0;1.39]",0.62,0.733
"51","all","Therapeutic","Therapeutic","Fixed","0.55","[0.48; 0.64]",-7.771,0,15,1.36,"[1.01;1.84]",0.46,"[0.01;0.7]",0.33,"[0;0.58]",0.11,"[0;0.34]",25.84,0.027
"52","all","Therapeutic","Therapeutic","Random","0.55","[0.44; 0.70]",-5,0,15,1.36,"[1.01;1.84]",0.46,"[0.01;0.7]",0.33,"[0;0.58]",0.11,"[0;0.34]",25.84,0.027
"53","all","age_cat","34 and Older","Fixed","0.86","[0.78; 0.95]",-3.045,0.002,24,2.53,"[2.12;3.01]",0.84,"[0.78;0.89]",0.55,"[0.37;0.81]",0.31,"[0.14;0.66]",146.79,0
"54","all","age_cat","34 and Older","Random","0.69","[0.52; 0.90]",-3,0,24,2.53,"[2.12;3.01]",0.84,"[0.78;0.89]",0.55,"[0.37;0.81]",0.31,"[0.14;0.66]",146.79,0
"55","all","age_cat","Less Than 34","Fixed","0.67","[0.61; 0.73]",-8.7,0,19,3.55,"[3.02;4.17]",0.92,"[0.89;0.94]",0.77,"[0.49;1.2]",0.59,"[0.24;1.44]",226.68,0
"56","all","age_cat","Less Than 34","Random","0.56","[0.38; 0.84]",-3,0,19,3.55,"[3.02;4.17]",0.92,"[0.89;0.94]",0.77,"[0.49;1.2]",0.59,"[0.24;1.44]",226.68,0
"57","all","studylength_cat","Less than 6 Months","Fixed","0.98","[0.88; 1.09]",-0.44,0.66,22,2.35,"[1.94;2.84]",0.82,"[0.74;0.88]",0.63,"[0.38;0.94]",0.4,"[0.14;0.88]",115.92,0
