"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"31","all","studylength_cat2","Less than 12 Months","Random","0.70","[0.53; 0.94]",-3,0,24,2.32,"[1.94;2.79]",0.81,"[0.73;0.87]",0.6,"[0.36;0.87]",0.36,"[0.13;0.76]",124.15,0
"32","all","studylength_cat2","More than 12 Months","Random","0.60","[0.29; 1.26]",-2,0,7,2.11,"[1.46;3.04]",0.77,"[0.53;0.89]",0.69,"[0.31;1.73]",0.48,"[0.1;2.98]",26.64,0
"33","all","Diversion","diversion","Random","0.43","[0.25; 0.72]",-4,0,6,1.37,"[1;2.18]",0.47,"[0;0.79]",0.4,"[0;1.21]",0.16,"[0;1.46]",9.4,0.094
"34","all","Diversion","prison","Random","0.61","[0.49; 0.76]",-5,0,44,2.84,"[2.52;3.2]",0.88,"[0.84;0.9]",0.64,"[0.45;0.82]",0.4,"[0.2;0.67]",345.72,0
"35","arrest","location_Simon","community","Random","0.51","[0.27; 0.94]",-3,0,9,2.48,"[1.85;3.33]",0.84,"[0.71;0.91]",0.74,"[0.32;1.63]",0.55,"[0.11;2.67]",49.29,0
"36","arrest","location_Simon","institution","Random","0.60","[0.43; 0.84]",-4,0,8,1.52,"[1.03;2.26]",0.57,"[0.05;0.8]",0.35,"[0.02;0.85]",0.12,"[0;0.73]",16.22,0.023
"37","arrest","location_Simon","both","Random","0.75","[0.49; 1.15]",-2,0,5,1.24,"[1;2.02]",0.35,"[0;0.75]",0.25,"[0;0.94]",0.06,"[0;0.88]",6.13,0.19
"38","arrest","location_Simon","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"39","arrest","Pathway1","diversion","Random","0.30","[0.00; 57.68]",-3,0,2,1.22,"[NA;NA]",0.33,"[NA;NA]",0.38,"[NA;NA]",0.15,"[NA;NA]",1.48,0.223
"40","arrest","Pathway1","community","Random","0.56","[0.35; 0.91]",-3,0,10,2.45,"[1.85;3.24]",0.83,"[0.71;0.9]",0.63,"[0.26;1.32]",0.4,"[0.07;1.75]",54.02,0
"41","arrest","Pathway1","institution","Random","0.65","[0.46; 0.90]",-3,0,8,1.42,"[1;2.12]",0.5,"[0;0.78]",0.36,"[0;0.89]",0.13,"[0;0.8]",14.1,0.049
"42","arrest","Pathway1","both","Random","0.87","[0.02; 36.73]",0,1,2,1.68,"[1;3.51]",0.64,"[0;0.92]",0.32,"[NA;NA]",0.1,"[NA;NA]",2.82,0.093
"43","arrest","Pathway1","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"44","arrest","Gendered","Yes","Random","0.54","[0.41; 0.72]",-5,0,8,1,"[1;1.76]",0,"[0;0.68]",0.26,"[0;0.66]",0.07,"[0;0.44]",5.28,0.626
"45","arrest","Gendered","No","Random","0.64","[0.41; 1.00]",-2,0,12,3.23,"[2.6;4.02]",0.9,"[0.85;0.94]",0.67,"[0.33;1.26]",0.45,"[0.11;1.59]",115.08,0
"46","arrest","Gendered","Partially","Random","0.52","[0.18;   1.51]",-3,0,3,1.56,"[1;2.92]",0.59,"[0;0.88]",0.33,"[0;2.64]",0.11,"[0;6.97]",4.87,0.088
"47","arrest","focus_Simon","Complex Needs","Random","0.53","[0.28; 0.98]",-3,0,6,2.97,"[2.13;4.15]",0.89,"[0.78;0.94]",0.51,"[0.25;1.46]",0.26,"[0.06;2.14]",44.22,0
"48","arrest","focus_Simon","Cognitive Skills","Random","0.38","[0.04;      4.08]",-2,0,3,1.49,"[1;2.79]",0.55,"[0;0.87]",0.82,"[0;7.54]",0.68,"[0;56.82]",4.45,0.108
"49","arrest","focus_Simon","Substance Use","Random","0.68","[0.47; 1.00]",-2,0,9,1.45,"[1;2.11]",0.52,"[0;0.78]",0.41,"[0;0.92]",0.17,"[0;0.86]",16.76,0.033
"50","arrest","focus_Simon","Parenting","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"51","arrest","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"52","arrest","focus_Simon","prostitution","Random","","",-3,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"53","arrest","focus_Simon","Mental Health","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"54","arrest","focus_Simon","Education","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
