"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"135","SMS","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"136","SMS","approach","Group","Random","0.64","[0.47; 0.88]",-3,0,17,1.89,"[1.48;2.41]",0.72,"[0.54;0.83]",0.57,"[0.26;0.9]",0.32,"[0.07;0.82]",57.2,0
"137","SMS","approach","unknown","Random","0.82","[0.06;      12.09]",0,1,3,8.43,"[6.4;11.11]",0.99,"[0.98;0.99]",1.04,"[0.53;6.63]",1.09,"[0.29;43.94]",142.14,0
"138","SMS","approach","Individual","Random","0.65","[0.36; 1.16]",-2,0,5,1.55,"[1;2.54]",0.58,"[0;0.85]",0.36,"[0;1.26]",0.13,"[0;1.59]",9.61,0.047
"139","SMS","Therapeutic","Not Therapeutic","Random","0.84","[0.57; 1.22]",-1,0,14,2.26,"[1.77;2.88]",0.8,"[0.68;0.88]",0.64,"[0.31;1.11]",0.41,"[0.1;1.23]",66.18,0
"140","SMS","Therapeutic","unknown","Random","","",-14,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"141","SMS","Therapeutic","Therapeutic","Random","0.52","[0.38; 0.71]",-5,0,10,1.25,"[1;1.81]",0.36,"[0;0.69]",0.35,"[0;0.76]",0.12,"[0;0.57]",14.06,0.12
"142","SMS","age_cat","Less Than 34","Random","0.64","[0.33; 1.26]",-2,0,8,5.04,"[4.09;6.2]",0.96,"[0.94;0.97]",0.79,"[0.42;1.87]",0.62,"[0.18;3.48]",177.81,0
"143","SMS","age_cat","34 and Older","Random","0.64","[0.49; 0.84]",-4,0,15,1.69,"[1.28;2.22]",0.65,"[0.39;0.8]",0.4,"[0.18;0.7]",0.16,"[0.03;0.49]",39.89,0
"144","SMS","studylength_cat","More than 6 Months","Random","0.68","[0.49; 0.94]",-3,0,5,1.3,"[1;2.13]",0.41,"[0;0.78]",0.18,"[0;0.67]",0.03,"[0;0.45]",6.72,0.151
"145","SMS","studylength_cat","Less than 6 Months","Random","0.66","[0.44; 1.00]",-2,0,12,1.57,"[1.14;2.15]",0.59,"[0.23;0.78]",0.59,"[0.15;1.1]",0.34,"[0.02;1.22]",26.99,0.005
"146","SMS","studylength_cat2","Less than 12 Months","Random","0.65","[0.47; 0.91]",-3,0,14,1.51,"[1.12;2.04]",0.56,"[0.21;0.76]",0.53,"[0.13;0.9]",0.28,"[0.02;0.82]",29.78,0.005
"147","SMS","studylength_cat2","More than 12 Months","Random","0.72","[0.34;  1.51]",-2,0,3,1.42,"[1;2.64]",0.5,"[0;0.86]",0.23,"[0;1.93]",0.05,"[0;3.71]",4.04,0.133
"148","SMS","Diversion","prison","Random","0.67","[0.51; 0.90]",-3,0,23,3.22,"[2.76;3.76]",0.9,"[0.87;0.93]",0.6,"[0.39;0.88]",0.37,"[0.15;0.78]",228.4,0
"149","SMS","Diversion","diversion","Random","0.55","[0.13; 2.30]",-5,0,2,1,"[NA;NA]",0,"[NA;NA]",0.05,"[NA;NA]",0,"[NA;NA]",0.2,0.651
"150","maxES","location_Simon","institution","Random","0.59","[0.37; 0.92]",-3,0,10,2.15,"[1.6;2.91]",0.78,"[0.61;0.88]",0.58,"[0.29;1.17]",0.34,"[0.09;1.37]",41.77,0
"151","maxES","location_Simon","community","Random","0.69","[0.45; 1.07]",-2,0,12,4.06,"[3.36;4.91]",0.94,"[0.91;0.96]",0.65,"[0.37;1.21]",0.42,"[0.13;1.45]",181.6,0
"152","maxES","location_Simon","both","Random","0.99","[0.60;  1.66]",0,1,3,1,"[1;3.1]",0,"[0;0.9]",0.18,"[0;2.87]",0.03,"[0;8.22]",0.52,0.77
"153","maxES","Pathway1","institution","Random","0.58","[0.37; 0.89]",-3,0,10,2.12,"[1.57;2.87]",0.78,"[0.59;0.88]",0.56,"[0.28;1.12]",0.31,"[0.08;1.25]",40.59,0
"154","maxES","Pathway1","community","Random","0.78","[0.50; 1.22]",-1,0,12,4.12,"[3.41;4.97]",0.94,"[0.91;0.96]",0.67,"[0.37;1.26]",0.45,"[0.14;1.59]",186.28,0
"155","maxES","Pathway1","diversion","Random","0.55","[0.13; 2.30]",-5,0,2,1,"[NA;NA]",0,"[NA;NA]",0.05,"[NA;NA]",0,"[NA;NA]",0.2,0.651
"156","maxES","Pathway1","both","Random","","",-1,1,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"157","maxES","Gendered","No","Random","0.75","[0.49; 1.15]",-1,0,14,3.96,"[3.31;4.73]",0.94,"[0.91;0.96]",0.7,"[0.43;1.22]",0.5,"[0.18;1.49]",203.76,0
"158","maxES","Gendered","Yes","Random","0.53","[0.40; 0.69]",-5,0,10,1.06,"[1;1.42]",0.1,"[0;0.51]",0.31,"[0;0.68]",0.09,"[0;0.46]",10.03,0.348
"159","maxES","Gendered","Partially","Random","","",0,1,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"160","maxES","focus_Simon","Cognitive Skills","Random","0.78","[0.37; 1.64]",-1,0,8,2.86,"[2.14;3.82]",0.88,"[0.78;0.93]",0.85,"[0.39;2.06]",0.73,"[0.15;4.23]",57.26,0
"161","maxES","focus_Simon","Complex Needs","Random","0.54","[0.21; 1.41]",-2,0,4,4.98,"[3.63;6.83]",0.96,"[0.92;0.98]",0.51,"[0.28;1.98]",0.26,"[0.08;3.93]",74.31,0
"162","maxES","focus_Simon","Substance Use","Random","0.60","[0.43; 0.85]",-3,0,12,1.72,"[1.27;2.34]",0.66,"[0.38;0.82]",0.45,"[0.2;0.86]",0.21,"[0.04;0.74]",32.68,0.001
"163","maxES","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"164","maxES","approach","Group","Random","0.64","[0.47; 0.88]",-3,0,17,1.89,"[1.48;2.41]",0.72,"[0.54;0.83]",0.57,"[0.26;0.9]",0.32,"[0.07;0.82]",57.2,0
"165","maxES","approach","unknown","Random","0.82","[0.06;      12.09]",0,1,3,8.43,"[6.4;11.11]",0.99,"[0.98;0.99]",1.04,"[0.53;6.63]",1.09,"[0.29;43.94]",142.14,0
"166","maxES","approach","Individual","Random","0.65","[0.36; 1.16]",-2,0,5,1.55,"[1;2.54]",0.58,"[0;0.85]",0.36,"[0;1.26]",0.13,"[0;1.59]",9.61,0.047
"167","maxES","Therapeutic","Not Therapeutic","Random","0.84","[0.57; 1.22]",-1,0,14,2.26,"[1.77;2.88]",0.8,"[0.68;0.88]",0.64,"[0.31;1.11]",0.41,"[0.1;1.23]",66.18,0
"168","maxES","Therapeutic","unknown","Random","","",-14,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"169","maxES","Therapeutic","Therapeutic","Random","0.52","[0.38; 0.71]",-5,0,10,1.25,"[1;1.81]",0.36,"[0;0.69]",0.35,"[0;0.76]",0.12,"[0;0.57]",14.06,0.12
"170","maxES","age_cat","Less Than 34","Random","0.64","[0.33; 1.26]",-2,0,8,5.04,"[4.09;6.2]",0.96,"[0.94;0.97]",0.79,"[0.42;1.87]",0.62,"[0.18;3.48]",177.81,0
"171","maxES","age_cat","34 and Older","Random","0.64","[0.49; 0.84]",-4,0,15,1.69,"[1.28;2.22]",0.65,"[0.39;0.8]",0.4,"[0.18;0.7]",0.16,"[0.03;0.49]",39.89,0
"172","maxES","studylength_cat","More than 6 Months","Random","0.68","[0.49; 0.94]",-3,0,5,1.3,"[1;2.13]",0.41,"[0;0.78]",0.18,"[0;0.67]",0.03,"[0;0.45]",6.72,0.151
"173","maxES","studylength_cat","Less than 6 Months","Random","0.70","[0.45; 1.08]",-2,0,11,1.56,"[1.12;2.17]",0.59,"[0.2;0.79]",0.59,"[0.14;1.18]",0.35,"[0.02;1.38]",24.26,0.007
"174","maxES","studylength_cat2","Less than 12 Months","Random","0.68","[0.48; 0.96]",-2,0,13,1.51,"[1.11;2.06]",0.56,"[0.18;0.76]",0.53,"[0.12;0.94]",0.28,"[0.01;0.88]",27.38,0.007
"175","maxES","studylength_cat2","More than 12 Months","Random","0.72","[0.34;  1.51]",-2,0,3,1.42,"[1;2.64]",0.5,"[0;0.86]",0.23,"[0;1.93]",0.05,"[0;3.71]",4.04,0.133
"176","maxES","Diversion","prison","Random","0.70","[0.53; 0.93]",-3,0,15,1.46,"[1.09;1.96]",0.53,"[0.16;0.74]",0.49,"[0.1;0.79]",0.24,"[0.01;0.62]",29.94,0.008
"177","maxES","Diversion","diversion","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
